Размер массива,Время (мсек),Итерации
4726,2,18904
5124,1,20496
844,0,3376
743,0,2972
7295,0,29180
7888,0,31552
5250,0,21000
7957,1,31828
9340,1,37360
3362,0,13448
5957,0,23828
5196,0,20784
9026,0,36104
997,0,3988
6224,0,24896
1198,0,4792
4504,0,18016
8715,0,34860
4139,1,16556
4061,0,16244
2935,0,11740
2941,0,11764
1726,0,6904
4821,0,19284
211,0,844
5857,0,23428
5522,0,22088
8508,0,34032
2581,0,10324
4832,0,19328
4583,0,18332
5214,0,20856
3290,0,13160
1761,0,7044
5793,0,23172
4460,0,17840
1006,0,4024
5616,0,22464
124,0,496
3077,0,12308
2429,0,9716
7767,0,31068
2128,0,8512
1913,0,7652
8112,0,32448
8031,0,32124
1888,0,7552
6990,0,27960
3003,0,12012
5552,0,22208
